Signature,Timestamp,Whale_Address,Rejection_Reason
"Hxfduh5hhck93v8D44XD5NMBVJUgYjhApHPzcz7RGpnA9zTW1cKZ4G8dtQ39E33bbnkhwPb4mvPLBSx9LigtPEr","2026-02-04T15:51:35.843Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"3N6bMuouA6SdwvLNFdwTdrB1d227ahyvmgLKqcCJz6AoCiKQ3kXWCxWVn65eLKmNXjBSEABVcZTpGt1pKvJteajG","2026-02-04T15:51:36.141Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","below_minimum_value_threshold"
"597tuud7q89RygMY7BvM9ZEbu5zpQniMeCXU7ToXgDJxypdk4NUyYPaPtUh4dKxGuPpUwHw1CWGqDAxur3SHmWeE","2026-02-04T15:51:36.831Z","C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo","only_transfer_actions"
"21rv2KDDXE1BUpNM8A4gUgTRVnAcNr2BaDVDZLUdTzyo7dv2DtVwFyG4zni63eiBgMAib3dBtux3FzjbKZ5GKodj","2026-02-04T15:51:36.835Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"2o7DzuFAk8cq9qjKGPubanWemJnc72KopNgYaEGwcxxLppuuARNiSDTgHqt9wy38R9spv4CHduAaPLc9iohjED8T","2026-02-04T15:51:36.865Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"3pb4ygrY37HZ7jhuAjZjQrunt3zBqMFyuCJFCMd6Hgy7jNNstLns49n4subGrPrvWBewy6Le2guhxUMVRscBSing","2026-02-04T15:51:36.867Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","below_minimum_value_threshold"
"28gdf7rgQGKPnha9NVR2y8FvjYRZjfWq8s4fpRooY2B2zaAv2jXeuyfQoZpnB5hhYV6TRHEctEeEQt7zrH5EM4Rx","2026-02-04T15:51:37.485Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"3FTJtb6dTVZWyaxJxXAwWsP7rDiwXhbjTienftA8z2tGDJ15uqnQVdufFBFxudSjqwDwXP8d49bv8bk63wfkXuJz","2026-02-04T15:51:37.559Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"HJKRCBQTHhkP7za91Vj8baLWGtLLeiByznnim7foYz9ZuhptFJVUY8rWZgFo7nwdP24zRtguhE9nkqJEgxavGXh","2026-02-04T15:51:37.562Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"4uj1oNVv6qv4v59VHGNW7qehFwy1fSd94Wv7ou7jerJHhiQNyaJ8oaQL7SzUj6JJBZg5RNu6SPnzLjhDSKNo7rPz","2026-02-04T15:51:37.951Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
"45Sw7uUGkeYGvhjWfGXeWaxZE7yqMvL31qiYNHHH8sKSQW7HE81cGXJXasQjdYKP9RTAYxejxwbxStTK6DcB91ph","2026-02-04T15:51:38.316Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"5mdVg3QmmhGm1cMRfoF2LeCPFV69EjYt6PiTkvKEuEAUZ4uYDiyCgicTHcRYJvFCeVLeW3AMAnQxa5H9oJ7T8ioU","2026-02-04T15:51:38.345Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"4EfX3BZLUPQgFfhn2YvhHVANTuV7EnTNWk5YeJjaumswEbkvz7T1bvsZoyhEbm77juRbqTbb8MGAbUaDfaAaonRX","2026-02-04T15:51:38.732Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
"HydBQDpm6Kf3sXjuSmdMmyzrKuSnaLHaBJuAqepkpgm4PwQwhxniLfoN2CchC3EPbFwQbm44K82GFvFq6JRGKbF","2026-02-04T15:51:39.061Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"4cEGE6qL7he9vHfDxX2p61SJcCYpeJJXzQouG8waEe5Nb4RmLVMA74P29P6EgTTmnmsEg7Y5cZu8ss7K2KK22rWU","2026-02-04T15:51:39.088Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"u5fw1QJ1rxUsPGzqeY9V6t3gNscNjPSe46JoXRuPyqGoa7pRM2S83LhUcqmcGdN7KK5pdanP1bdKKgq9PBK9Dhb","2026-02-04T15:51:39.107Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"497v3dDjXjggXFpxykFo1WDH6LQk76CZyR4wXS8UM4PWzgAZboXMttVYkggUM7XbRpPcP7EyUuqZ6AuzUp7k3QpZ","2026-02-04T15:51:39.787Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"26vcEogtFPJcBDczHA5umSn2sfuNVTKhme2w859BkTvBJDgPSGiKGgforF4rs82LpSF5dSHfXMS6DUiQCR93oYuU","2026-02-04T15:51:40.194Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"5X3LPa5w2S7VahRRvGBGU3T5RmrMvPvhtxwaE9Z3nQcbppuoFnvNsexmfoPuFxLRSuUKCTDqnQLNSG1bwcdgjmaP","2026-02-04T15:51:40.727Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"4r3WNGJXS4dDiWUMPxVWT5vKda191mwPmWGN1tv8jYAH6EXgo1bAbb8ni4NS3d7SceRBqbWzpQdHkJBiCZvnj5eU","2026-02-04T15:51:40.729Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"4jeX6Buk9n7bbGUrVMWMBp3MQr8bAo6MZs6iXUSYZzkERAapPqm5L4Qq2GPz64W5FiPCX7wtEFB4ABQ7QZDWBLmC","2026-02-04T15:51:41.416Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"4Zqg5WfWfMVzqFxXNGEHVpJR8MbWrjx3k2zePbem6NR7PbS8EoCU8WB2zexpQBFiLrB1emACtNZhWbesrt7ZPaTA","2026-02-04T15:51:41.416Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
"2Pz8b53S2zHb68SDw6erfgFEAT5kxKghMf1fXCwt4yr4rf62Y8aLyvyWwC6QhMGd8FfXhopYhpQbXYsum1w1cVDj","2026-02-04T15:51:41.703Z","8shTxw6vxXFhm8xRTxNq1K8ujsFwqmFfJF4kFXVvYUJa","swapper_identification_failed"
"5X3SeJebfPqvHVDbF5fKxEjRzt5SV7YjDfM9ujZi2xFDSqKivbu4qBzkJMuWvnPLn7gyRGKrR5CxRJgJw2YDiCb2","2026-02-04T15:51:41.743Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"2Z493y8SFSrXzJAwGjEGJ1anvPJVkmJB1ASskKq3eWpJFeRVt4qmdBYgggVtDkCrPzvRMVVmKDcHLTPhLxo7RUPV","2026-02-04T15:51:42.127Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
"5YhDfXkSnT2kUGyNogudU9dCNANspXWMR2TjXde86eNcmRpMNXgVCrfumCu4TvCvpq6ys18keN6jKsQK134wJvPr","2026-02-04T15:51:42.133Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"3fMRHdBME9RFKQ8hUdLGuxLH4jTXGWodzcaQFqDaQ5WbzLFbDMVDmEAnys9wEuskrLQUTW65VUubfbAKWAPZTMak","2026-02-04T15:51:42.161Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","below_minimum_value_threshold"
"5j2zLiUuRAGHdV3TgEqwrcrCGrvTaecZyykrFRrZi4HJQLqVFdutaNNRHhuiRssrNt7NSvc9TPbWQmkx7SrUGqnh","2026-02-04T15:51:42.171Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"4M7rVjrFATPy68Fzuc1hTgPvk1R2BbataquHKgpV4fHTXkeFx1QoCa4gv2ep2ioVrJF2GsJABLG49Exys4MdfWj8","2026-02-04T15:51:43.105Z","HV4BEps6AA67DTw4iPJSHfuYcBcR5BkmTyUdfbyyqi4Y","swapper_identification_failed"
