signature,wallet,type,tokenIn,tokenOut,amountIn,amountOut,timestamp,confidence
jjpnpRDH8Z2wYfX5k8PfKhQPRoAGi77jWcbAMxNdxyg9pairGxxYwJHcpLLuvUyzFbVPiKc2AgRES9aYoaZydeo,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.9947593820000002,90220.010165945,2026-02-17T22:01:19.000Z,100
5er1iWDCumJdGDWJL5LcWh13NAVoXCBNwSKYqo79Guxg1fZxucXK1vQJ5xBkb9BxGmBJTXR8cc2Bo1RTa3wrG6Pi,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.73699115,81627.710097501,2026-02-17T22:01:19.000Z,100
5bqb3vhsB3EApeiGRQuDMGHs3rfwfHhJGXHFhn1sWQU8iEfwRN2k1W9u6ZTfRULfLLqFsLvjF547Ymwe1zifURq,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,3.1533145940000002,94529.553739924,2026-02-17T22:01:19.000Z,100
3U52wo8aMPXFMNBGNnehe3eUQiLQAREEqtRGAUjfGU3HxpnVQkeHbCVvvL8cpyfpARDbTumK6hhPPVwuerduspvW,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,3.1285366900000002,92937.631333814,2026-02-17T22:01:19.000Z,100
Q1ycyAsgDKLR6U2gWuZJeVGRYrbuYe8SjvhNjgMECHYrtMvMfNwUt9gjADhtbptmDumfxM7wJMVDjJn75TRhG9a,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,195081.789205233,2026-02-17T22:01:24.000Z,100
33cTAxCcXRoLBueMqYvCwQeM8yUQm3jk3Jt5BfF8Ne4UXo9LQyyBHMfxYzHKHB7wNzmQ5NfXYvFLTiEB9n3r2Fds,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,190175.145026224,2026-02-17T22:01:24.000Z,100
39dJFEZLdpMyucw44ptRAKzdNviP1Jb3b4pni6LPhedc4yhLkhZ4dzkg9Uzbjssrrh2ZTn8n3vBaEg5vAQehFqAv,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,192955.957203671,2026-02-17T22:01:24.000Z,100
2ggaBRE2zGtAZhr7PK4who6fzweN12oHeMaPCsYNQeeBSKYinF7X8mbK6hb2rwkzMET4ptdVWPxdTFN34wF7mUdG,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,186115.301794708,2026-02-17T22:01:24.000Z,100
5S5EXUEejiww3WPC23JpEF9AtR2R3xhgF2pQQhAA9EzF21RjLLr7Xo9YBkQEaQt7TTY1npBWJfzxA6kjjZLVAwo2,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,188128.79724921,2026-02-17T22:01:24.000Z,100
3oZkF2xjc7JjKR2sV3gmFCEM6kMWPkt2hFFuvthQd65FdxfYD2S46RQV4BK9Hi2kaHoDChMAGD89CjA84z9zre4o,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,184133.959185504,2026-02-17T22:01:24.000Z,100
47kjoPnxA8vGCzxzYKsxuEA69DhqwS54Q3KB2177VcaUjis8CNyig9p57dFE6FywSL2pEVjy7S6kVUFoNDvrtSyd,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,181541.010203656,2026-02-17T22:01:24.000Z,100
3bwTn1BnNpLympTwaMMjFYmr2Y5BN3xMEBFqBCgVbgKgDhzqyiwbZS7AGsBB78kNrGKEaRGAHCVk3WyPBWZZDYRP,J6TDXvarvpBdPXTaTU8eJbtso1PUCYKGkVtMKUUY8iEa,BUY,SOL,5R6U...KZFN,10.193384343,3205680.060132,2026-02-17T22:01:45.000Z,100
4KrT9Bo3wUhZCVKKGKScdCUcLaaa8WMAvSY4uxPmp5kusXxYhqZ4QCCyaJ3g18ayGoiiNBnXsapdkGGcbwBqDWiH,GAH2TKPtu7HSpbCkBMANPCDBSSaRFeSwoScfFRVF7oHa,SELL,4NbL...dBcd,SOL,2693521.027702,15.03815186,2026-02-17T22:01:53.000Z,100
