signature,whale_address,ts_utc,shyft_result,shyft_erase_reason,shyft_direction,helius_result,helius_erase_reason,helius_direction,category,winner
2CeNsE7cncFRABaG7HZNYSXugzYcEh2nasJfFpcxorLCVduaAPC8ckmBtGbK4T2g4FrnzF1QgfuRrTEguiS1u71j,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,2026-02-18T09:31:57.228Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
5BZb7oy7BxWy8eDjdVBv2QSQixwyFsDdWoEg6v727VYhFP67m1K6797JXSrUWj4i1kbBoEvRg2bpzfJh8X3QieWh,5xYNhZRW1rEofFon3X2JgaZtrnu5vo5xXD61jHof3p37,2026-02-18T09:31:57.231Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
KedxPj8TW7LSXDyoJSrWQbpkC6rVVxYEY3aQLZqP4W3hQoQb1gHe4mCDuusbo3bJ11PxY8QQH87z5XnGQJzW11K,CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,2026-02-18T09:31:58.921Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
4XX9rYnFCQkXptZU74pq9uM3W8UkLsi49RQ76A4miGGhSeQcJKJxjgFvn6vH1wy6tHLM1e75apa6g6XQ2Q6Y89Lt,GViJHLkWt12RcR6QkZBVybWzeG6g31ZHwRz2MCwNtWee,2026-02-18T09:32:00.377Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
31MUaj6KVt2XexJHnEfzVVvJH9eX3Up1CTFv6NHE1KGb1EeoKx5eURq2Sg2DkLC4wkXC2QT9X7kfiBNkwejrQkyi,9E4fv9BsJ2BwkNBXDeUgpJYtrYPheMQWYFcxGYxDFshX,2026-02-18T09:32:04.883Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
mDBhMwSQk9f4dRnYgNtHbdcS1f3KNL3fazJyggRK9icEgQQ1GGM7rEVpYmojMYJ15Whv9AKQUmFKu2WGR3sCmw5,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:04.885Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
3fnYW6LKMU8NidbZFDUjKwwddmCjRHf5B5JhSMJaJTAjLF7sAq9FxPy2CTCatNfUef8TatfSFRSyXFVwQfv6LNjj,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:04.900Z,erase,invalid_delta_signs,n/a,erase,invalid_asset_count,n/a,both_missed,none
42xJm7gtmsDrxRzFAH1LwV4cxn8FNNEhmQWt3DdkuVP7joPR8Uf3t1L7uRXNZBax9YWEh3deYVTLs7ryAdjnS8Gr,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:04.889Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
477yBTZ7MbU5G5JRT8d6ijSP53SLoFqABwWtLVYtLTuC9NPYxD9t7xC2v6uESt3ZS6BCTCyrNQufNDifwsBLuPpz,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:04.896Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
3KLqXSbYNmpd7v4zDmVHq8KwX6FzeF6LEFcZgN9ix2gpUGjtFUYxdphGEyaBtaKXbWoP8UKF56i6TgBvFa2T836D,CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,2026-02-18T09:32:04.932Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
5TYd45qxQusBWA5EYW1qLT8fyukTcJNcTe7418uWh9e5oXKN4uuRosxZnY1a53UnNjb39mXSh1HgLUF5LPS6MRCZ,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:32:07.738Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
3tS3GcKCQekHUghUQQKBemTtPfkHvrH6rpuv7emeE75D5bNmmkiyHYg3FXnnZL21uZJQSSh7WhiQwwCx4v5JxFAR,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,2026-02-18T09:32:04.928Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
4NVbj7BqQf3JoDPKJX92xF4ZC2VoNSQbA7w6hMxdTXDuHwVSi7qvyL3Gy6JGVsJZJZfhD4bNgBrNiEMDQX35NMwn,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,2026-02-18T09:32:10.762Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
2jb8w2GQ2vdLs13GV58vf95vFzhhNqB8yH4MZCnRLGzMTejT5dPGCKtui1mQGcnfc5MkvSVMrv1bsbpgR9aiXyL2,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,2026-02-18T09:32:10.766Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
2T1cn45uCT7N3U6a7H1pZUEXewz1Duesc1mcxwJSz39xhMkztxSbkrdrv7hqGctzvKm8Xf1Kup9xCzkTCaRmcM29,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:32:12.147Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
